Item;Key;Match;id
street;imielin ludwika hirszfelda;hirszfelda ludwika;531
street;aleje jana paw³a ii;aleja jana paw³a ii;532
street;za ¿elazn¹ bram¹;plac ¿elaznej bramy;533
street;os. ostrobramska;ostrobramska;534
street;d³ugosza;d³uga;535
street;stok³osy komisji edukacji narodowej;komisji edukacji narodowej, al.;536
street;jary cybisa;cybisa jana;537
street;bellotiego;bellottiego;538
street;gornoslaska;górnoœl¹ska;539
street;.poznañska;poznañska;540
street;burkowska;burakowska;541
street;al wilanowska;aleja wilanowska;542
street;stok³osy wac³awa lachmana;lachmana wac³awa;543
street;jerozolimskie ;aleje jerozolimskie;544
street;w³adys³awa skoczylasa;skoczylasa w³adys³awa;545
street;fryderyka joliot curie;joliot-curie fryderyka;546
street;jary dunikowskiego;xawerego dunikowskiego;547
street;jelonki kazimierza wyki;wyki kazimierza;548
street;icchoka lejba pereca;pereca icchaka lejba;549
street;bluszczañska;bluszczañska;550
street;jerzego waszyngtona;aleja jerzego waszyngtona;551
street;sobieskiego;jana iii sobieskiego;552
street;garbiñskiego;garbiñskiego kajetana;553
street;""" """"solidarnoœci""""""";aleja „solidarnoœci”;554
street;jana paw³a/ solidarnoœci;aleja „solidarnoœci”;555
street;stanis³awa worcella;worcella stanis³awa;556
street;marcina kasprzaka/prymasa tysi¹clecia;aleja prymasa tysi¹clecia;557
street;œwiêtego stanis³awa;œw. stanis³awa;558
street;skwer wyszyñskiego;skwer kard. stefana wyszyñskiego;559
street;sw.stanislawa;œw. stanis³awa;560
street;prymasa tysi¹clecia 79 a;aleja prymasa tysi¹clecia;561
street;al solidarnoœci;aleja „solidarnoœci”;562
street;sieczna 72 a;sieczna;563
street;mehoffera;józefa mehoffera;564
street;g³êbocka;gêbicka;565
street;stanis³awa chudoby;chudoby stanis³awa;566
street;skarbka z gór 124 c;skarbka z gór;567
street;wysockiego;wysockiego piotra;568
street;ul malborska;malborska;569
street;sandora petöfiego;sándora petöfiego;570
street;""" zgrupowania ak """"¿mija""""""";zgrupowania ak ¿mija;571
street;gustawa dani³owskiego;dani³owskiego gustawa;572
street;d¹browskiej;marii d¹browskiej;573
street;lwa to³stoja;to³stoja lwa;574
street;w³adys³awa reymonta;reymonta w³adys³awa;575
street;conrada/bogus³awskiego;bogus³awskiego wojciecha;576
street;nocznickiego;tomasza nocznickiego;577
street;efraima schroegera;schroegera efraima;578
street;gen. klemensa rudnickiego;rudnickiego klemensa stanis³awa;579
street;sarbiewskiego;sarbiewskiego macieja;580
street;henryka brodatego;henryka i brodatego;581
street;relaksowa-kabaty;relaksowa;582
street;jana cybisa;cybisa jana;583
street;marco polo;marca polo;584
street;""" bronis³awa pietraszewicza """"lota""""""";pietraszewicza bronis³awa „lota”;585
street;jastrzêbskiego;jastrzêbia;586
street;""" andrzeja romockiego """"morro""""""";andrzeja romockiego morro;587
street;zygmunta pawlaczyka;pawlaczyka zygmunta;588
street;""" jana rodowicza """"anody""""""";jana rodowicza anody;589
street;bronikowskiego;ksawerego bronikowskiego;590
street;gra¿yny bacewiczówny;bacewiczówny gra¿yny;591
street;witolda ma³cu¿yñskiego;ma³cu¿yñskiego witolda;592
street;benedykta dybowskiego;dybowskiego benedykta;593
street;aleja jana rodowicza;jana rodowicza anody;594
street;eugeniusza lokajskiego;lokajskiego eugeniusza;595
street;""" mariana sengera """"cichego""""""";mariana sengera „cichego”;596
street;edwarda dembowskiego;dembowskiego edwarda;597
street;aleksandra janowskiego;janowskiego aleksandra;598
street;józefa elsnera;elsnera józefa;599
street;joliot-curie;joliot-curie fryderyka;600
street;""" jana bytnara """"rudego""""""";jana bytnara „rudego”;601
street;j. d¹browskiego;jaros³awa d¹browskiego;602
street;grupy ak pó³noc;grupy ak „pó³noc”;603
street;""" batalionu ak """"karpaty""""""";batalionu ak „karpaty”;604
street;franciszka bartoszka;bartoszka franciszka;605
street;kazimierza kuratowskiego;kuratowskiego kazimierza;606
street;seweryna goszczyñskiego;goszczyñskiego seweryna;607
street;edwarda józefa abramowskiego;abramowskiego edwarda;608
street;ludwika pasteura;pasteura ludwika;609
street;ul . grójecka;grójecka;610
street;stefana banacha;baleya stefana;611
street;siemieñsiego józefa;józefa siemieñskiego;612
street;bitwy warszawskiej;bitwy warszawskiej 1920 r.;613
street;stanis³awa rostworowskiego;gen. stanis³awa rostworowskiego;614
street;chrzanowska;chrzanów;615
street;genera³a meriana c. coopera;gen. meriana c. coopera;616
street;u. powstañców œl¹skich;powstañców œl¹skich;617
street;doroszewskiego;witolda doroszewskiego;618
street;dekutowskiego;dekutowskiego hieronima ;619
street;klemensiewicza;klemensiewicza zenona;620
street;gen. boles³awa szareckiego;szareckiego boles³awa;621
street;osmañczyka 16 / powstañców œl¹skich;powstañców œl¹skich;622
street;œw. u. ledóchowskiej;ledóchowskiej urszuli;623
street;kostki potockiego;kostki-potockiego stanis³awa;624
street;a.rzeczypospolitej;rzeczypospolitej;625
street;józefa teodorowicza;teodorowicza józefa;626
street;stanis³awa lentza;lentza stanis³awa;627
street;""" gen. antoniego chruœciela """"montera""""""";antoniego chruœciela montera;628
street;al jerozolimskie;aleje jerozolimskie;629
street;czes³awa k³osia;k³osia czes³awa;630
street;cyprysowa 57 02-;cyprysowa;631
street;zbigniewa herberta;herberta zbigniewa;632
street;œwietokrzyska;œwiêtokrzyska;633
street;emili plater;plater emilii;634
street;adolfa suligowskiego;suligowskiego adolfa;635
street;politechniki;plac politechniki;636
street;adama idŸkowskiego;idŸkowskiego adama;637
street;ujazdowskie piêkna;aleje ujazdowskie;638
street;emiliana konopczyñskiego;konopczyñskiego emiliana;639
street;zamkowy;plac zamkowy;640
street;ujazdowskie;aleje ujazdowskie;641
street;bankowy;plac bankowy;642
street;bartoszewicza;juliana bartoszewicza;643
street;nowogrodzka / krucza;nowogrodzka;644
street;pileckiego;pileckiego witolda, rtm;645
street;gagarina;gagarina jurija;646
street;chroœcickiego;ks. juliana chroœcickiego;647
street;je¿ewskiego;je¿ewskiego kazimierza;648
street;narbutta;narbutta ludwika;649
street;anielewicza;mordechaja anielewicza;650
street;kamiñskiego;kamiñskiego aleksandra;651
street;piwarskiego;piwarskiego jana feliksa;652
street;tokarza;tokarza wac³awa;653
street;rayskiego;rayskiego ludomi³a;654
street;krzywoñ;krzywoñ anieli;655
street;okiñskiego;w³adys³awa okiñskiego;656
street;koŸmiana;koŸmiana kajetana;657
street;baleya;baleya stefana;658
street;magiera;magiera antoniego;659
street;perzyñskiego;perzyñskiego w³odzimierza;660
street;rossiniego;rossiniego gioacchino ;661
street;szanajcy;szanajcy józefa;662
street;bobrowskiego;bobrowskiego stefana ;663
street;wilanowska;wilanowska;664
street;gen. sikorskiego;aleja gen. w³adys³awa sikorskiego;665
street;banacha;banacha stefana;666
street;okulickiego;gen. leopolda okulickiego;667
street;nabielaka;nabielaka ludwika;668
street;plac niemena;plac czes³awa niemena;669
street;nerudy;nerudy pabla;670
neighbourhood;osiedle królewskie;wilanów królewski;671
neighbourhood;park stawy kellera;wilanów królewski;672
street;husa;husa jana;673
street;plac unii;plac unii lubelskiej;674
street;fort cze (idzikowskiego;idzikowskiego ludwika;675
street;praga-pó³noc szanajcy;szanajcy józefa;676
street;syrokomli;syrokomli w³adys³awa;677
street;praga-po³udnie waszyngtona;rondo jerzego waszyngtona;678
street;praga-pó³noc pl.hallera;plac hallera józefa, gen.;679
street;praga-po³udnie osiedle saska bora komorowskiego;gen. tadeusza bora-komorowskiego;680
street;conrada;josepha conrada;681
